2002/02/2009,18.26,0.47,2,0,0,33.61,5.79
2002/02/2007,10.04,2.42,31.4,0.03,25.4,33.88,2.23
2002/02/2006,10.1,2.38,31,0.04,25,33.822,2.3
2002/02/2008,18.25,0.47,1,0,0,33.61,5.72
2002/03/2028,16,0.62,2.5,0.02,0.5,33.539,6.11
2002/03/2029,11.99,0.86,6,0.17,6,33.42,5.74
2002/04/2008,17.16,0.51,2,0,0,33.625,5.74
2002/04/2004,17.05,0.51,2,0,0,33.593,5.83
2002/04/2002,9.38,2.77,40.3,0,28.9,33.77,1.5
2002/03/2031,10.07,2.21,28.3,0.01,24.3,33.588,2.59
2002/03/2030,10.48,1.99,23.5,0.04,22,33.531,2.95
2002/04/2001,9.83,2.45,33.1,0,26.3,33.647,2.16
2002/04/2003,18.22,0.51,2,0,0,33.58,5.7
2002/04/2003,18.22,0.49,2,0,0,33.58,5.63
2002/04/2004,18.14,0.51,2,0,0,33.581,5.71
2002/04/2006,10.32,2.36,30.2,0.02,24,33.98,2.33
2002/04/2005,12.23,0.94,8.4,0.1,3.5,33.648,5.42
2002/04/2005,15.37,0.53,2.3,0.01,0.2,33.608,5.86
2002/04/2006,10.59,2.14,25.4,0.04,21.8,33.828,2.79
2002/04/2007,9.95,2.49,34.3,0.01,25.8,34.161,2.04
2002/04/2007,10.04,2.49,34,0.01,25.7,34.16,2.02
2002/04/2008,17.79,0.47,2,0,0,33.628,5.74
2002/04/2012,8.89,2.28,33.9,0.03,24.5,34.035,2.83
2002/04/2010,10.99,1.4,14.4,0.24,13.8,33.669,4.37
2002/04/2009,16.83,0.51,2,0,0,33.627,5.95
2002/04/2009,17.15,0.51,2,0,0,33.625,5.76
2002/04/2010,15.91,0.55,2.5,0.01,0.6,33.635,6.05
2002/04/2011,9.73,2.07,27.2,0.03,22.1,33.825,3.01
2002/04/2011,10.07,1.87,22.6,0.08,20.1,33.736,3.46
2002/04/2012,9.35,2.18,30.5,0.02,23.4,33.927,2.89
2002/07/2005,17.05,0.51,2,0.03,0,33.451,5.58
2002/07/2003,8.4,2.69,43.8,0.01,25.4,34.112,2.01
2002/07/2002,8.87,2.28,34,0.03,24.5,34.039,2.83
2002/07/2004,17.07,0.4,2,0.01,0,33.453,5.71
2002/07/2007,13.8,0.58,3,0.04,0.7,33.412,6.39
2002/07/2006,16.82,0.52,2,0.02,0,33.434,5.67
2003/02/2001,14.32,0.49,2,0.02,0,33.122,6.17
2002/11/2012,16.63,0.51,2,0,0,33.447,5.87
2002/07/2012,13.46,0.62,3.1,0.05,0.6,33.367,6.33
2002/07/2010,8.32,2.43,39.3,0.02,27.4,33.672,2.7
2002/07/2009,9.47,1.92,24.1,0.03,21.6,33.527,3.56
2002/07/2009,9.99,1.6,17.7,0.04,17.5,33.485,4.27
2002/07/2010,9.2,2.18,30.1,0.02,24.5,33.572,3.03
2002/07/2011,16.92,0.52,2,0.01,0,33.402,5.68
2002/07/2011,17.01,0.56,2,0,0,33.425,5.69
2002/07/2012,13.55,0.61,3,0.04,0.4,33.366,6.35
2002/07/2016,9.07,2.1,29.9,0.02,24.8,33.533,3.33
2002/07/2014,10.73,1.42,14.4,0.11,14.6,33.444,4.48
2002/07/2013,11.9,0.98,8,0.22,7.4,33.404,5.38
2002/07/2015,9.74,1.81,22.3,0.03,20.5,33.487,3.84
2002/11/2010,16.76,0.49,2,0,0,33.451,6.14
2002/07/2017,8.52,2.37,37.7,0.01,27.3,33.636,2.66
2002/11/2011,16.65,0.51,2,0,0,33.449,5.86
2002/11/2020,9.16,2.03,27.4,0.01,23.5,33.452,3.46
2002/11/2016,15.13,0.52,1.1,0.01,0.1,33.359,5.92
2002/11/2014,16.02,0.51,1.9,0,0,33.406,5.96
2002/11/2013,16.36,0.51,2,0,0,33.428,5.91
2002/11/2015,15.22,0.51,1,0,0,33.359,5.92
2002/11/2018,10.66,1.38,14.1,0.11,14,33.384,4.62
2002/11/2017,12.6,0.83,5.8,0.26,5.1,33.365,5.58
2002/11/2019,9.65,1.8,21.6,0.02,20.4,33.413,3.86
2002/11/2024,16.73,0.49,2,0.02,0,33.257,5.55
2002/11/2022,16.98,0.49,2,0,0,33.276,5.67
2002/11/2021,8.32,2.2,36.5,0,26.7,33.556,2.98
2002/11/2023,16.74,0.49,2,0.02,0,33.261,5.55
2003/01/2030,16.12,0.49,2,0.01,0,33.183,5.8
2002/11/2025,16.53,0.49,2,0.01,0,33.22,5.62
2003/01/2031,14.38,0.49,2,0.02,0,33.115,6.18
2003/04/2004,10.54,2.52,36,0.24,27.4,34.25,1.28
2003/02/2009,17.6,0.47,2,0,0,33.582,5.76
2003/02/2005,10.38,1.16,12.5,0.03,12,33.689,4.72
2003/02/2003,12.97,0.6,3.2,0.12,1.7,33.432,5.68
2003/02/2002,13.22,0.51,2,0,0,33.284,5.96
2003/02/2004,11.93,0.83,6.9,0.12,6.2,33.567,5.25
2003/02/2007,17.89,0.42,2,0,0,33.58,5.63
2003/02/2006,9.26,1.81,25.7,0.02,21.4,33.893,3.56
2003/02/2008,17.73,0.47,2,0,0,33.58,5.72
2003/02/2013,10.46,1.25,13.2,0.05,13.4,33.778,4.58
2003/02/2011,14.45,0.5,2.2,0.01,0.2,33.627,6.19
2003/02/2010,16.16,0.48,2,0,0,33.603,6.05
2003/02/2012,12.42,0.85,7.2,0.16,5.7,33.685,5.4
2003/02/2015,10.16,2.25,31,0.14,25.6,34.045,2.24
2003/02/2014,10.06,1.83,23.1,0.05,21.1,33.897,3.4
2003/04/2003,10.49,2.5,35.6,0.23,27.3,34.226,1.37
2003/04/2011,12.62,0.85,6.9,0.15,5.2,33.646,5.48
2003/04/2008,18.46,0.49,1,0,0,33.619,5.5
2003/04/2006,18.96,0.47,1,0,0,33.63,5.48
2003/04/2005,10.65,2.95,38.8,0.04,28.7,34.267,0.83
2003/04/2007,18.53,0.49,1,0,0,33.62,5.49
2003/04/2010,16.84,0.47,2,0,0,33.601,5.78
2003/04/2009,17.72,0.48,1.5,0,0,33.607,5.62
2003/04/2011,14.99,0.5,2.1,0.01,0.1,33.607,6.04
2003/04/2013,9.41,2.07,28.3,0,24.2,33.952,3.04
2003/04/2012,11.14,1.32,14.2,0.08,12.8,33.719,4.39
2003/04/2013,10.15,1.75,21.8,0.02,19.6,33.822,3.52
2003/04/2015,8.79,2.38,35.6,0,26.6,34.069,2.69
2003/04/2014,9.34,2.1,29,0,24.6,33.97,3
2003/04/2016,18.01,0.49,2,0,0,33.44,5.79
2004/11/2018,15.81,0.44,1.1,0,0,33.522,6.04
2004/03/2030,11.72,1.12,10.7,0.02,10.9,33.473,4.62
2003/10/2027,18.22,0.47,1,0,0,33.468,5.62
2003/07/2022,11.55,1.17,12.2,0.04,10.8,33.803,5
2003/04/2022,10.74,1.48,15.3,0.02,14.2,33.417,4.3
2003/04/2019,13.9,0.47,2,0,0,33.17,6.42
